canonical_item,normalized_units_total,raw_item_count,base_unit,category_guess,perishable_guess,size_examples
Birds Eye Steamfresh Mixed,2.00,1,each,Uncategorized,Non-perishable,10 oz
Bluey Toddler Boys Holiday,2.00,1,each,Uncategorized,Non-perishable,
Cabot Creamery Colby Jack,2.00,1,oz,Dairy,Perishable,8 oz
Cantu Avocado Sulfate Free,2.00,1,each,Uncategorized,Non-perishable,13.5 oz
Chopped Caesar Salad Kit,2.00,1,each,Uncategorized,Non-perishable,11.15 oz
Chuck Roast Choice Angus,2.00,1,each,Uncategorized,Perishable,3.38 lb
Classico Four Cheese Spaghetti,2.00,1,oz,Dairy,Perishable,44 oz
Confectioners Powdered Sugar,2.00,1,each,Uncategorized,Non-perishable,32 oz
Cool Whip Whipped Topping,2.00,1,each,Uncategorized,Non-perishable,8 oz
Cranberry Jalapeno Dip Good,2.00,1,each,Uncategorized,Non-perishable,10 oz
Crest Pro Health Advanced,2.00,1,each,Uncategorized,Non-perishable,32 fl oz
Crosswind All Season Uhp,2.00,1,each,Uncategorized,Non-perishable,
Dawn Platinum Powerwash Dish,2.00,1,each,Uncategorized,Non-perishable,16 oz
Dr Teal S Pure,2.00,1,each,Uncategorized,Non-perishable,6 lbs
Dried Philippine Mango,2.00,1,each,Uncategorized,Non-perishable,6 oz
Extra Virgin Olive Oil,2.00,1,each,Uncategorized,Non-perishable,17 fl oz
Fettuccine,2.00,1,each,Uncategorized,Non-perishable,16 oz
Fluffernutter Marshmallow Fluff,2.00,1,each,Uncategorized,Non-perishable,7.5 oz
Forceum Hena Uhp All,2.00,1,each,Uncategorized,Non-perishable,
Frank S Redhot Cayenne,2.00,1,each,Uncategorized,Non-perishable,23.0 fl oz
French S Non Gmo,2.00,1,each,Uncategorized,Non-perishable,6.0 oz
Garlic Bulb Whole Each,2.00,1,each,Uncategorized,Non-perishable,
Genoa Salami Pepper Jack,2.00,1,oz,Dairy,Perishable,3 oz
Goya Artichoke Hearts,2.00,1,each,Uncategorized,Non-perishable,6 oz
Heavy Whipping Cream Carton,2.00,1,each,Uncategorized,Non-perishable,16 oz
Hidden Valley Ranch Dipping,2.00,1,each,Uncategorized,Non-perishable,20 fl oz
Hillshire Snacking Protein Genoa,2.00,1,oz,Dairy,Perishable,2.76 oz
Honest Kids Super Fruit,2.00,1,each,Uncategorized,Non-perishable,6.75 fl oz
Ken S Steak House,2.00,1,each,Uncategorized,Non-perishable,24 fl oz
Mandarin Oranges Bag,2.00,1,each,Uncategorized,Non-perishable,3 lb
Mccormick Pure Vanilla Extract,2.00,1,each,Uncategorized,Non-perishable,2.0 fl oz
Method All Purpose Cleaner,2.00,1,each,Uncategorized,Non-perishable,28 fl oz
Muenster Deli Sliced Cheese,2.00,1,oz,Dairy,Perishable,8 oz
Native Facial Moisturizer For,2.00,1,each,Uncategorized,Non-perishable,1.7 oz
Native Sensitive Facial Cleanser,2.00,1,each,Uncategorized,Non-perishable,12 oz
Nature S Bakery Blueberry,2.00,1,each,Uncategorized,Non-perishable,2 oz
Ozark Trail Kids Air,2.00,1,each,Uncategorized,Non-perishable,
Pillsbury Cinnamon Rolls With,2.00,1,each,Uncategorized,Non-perishable,
Pillsbury Creamy Supreme Chocolate,2.00,1,each,Uncategorized,Non-perishable,16 oz
Pillsbury Premade Pie Crust,2.00,1,each,Uncategorized,Non-perishable,14.1 oz
Quaker Quick Minute Grits,2.00,1,each,Uncategorized,Non-perishable,24 oz
Red Baby Potatoes Bag,2.00,1,each,Uncategorized,Non-perishable,1.5 lb
Redi Shade No Tools,2.00,1,each,Uncategorized,Non-perishable,
Reduced Calorie Sugar Free,2.00,1,each,Uncategorized,Non-perishable,24 fl oz
Ritz Whole Wheat Crackers,2.00,1,each,Uncategorized,Non-perishable,12.9 oz
Russell Athletic Boy S,2.00,1,each,Uncategorized,Non-perishable,
Sheamoisture Strengthening Scalp Oil,2.00,1,each,Uncategorized,Non-perishable,2 oz
Simply Potatoes Shredded Hash,2.00,1,each,Uncategorized,Non-perishable,20 oz
Sloppy Joe Sauce,2.00,1,each,Uncategorized,Non-perishable,15 oz
Smithfield Naturally Hickory Smoked,2.00,1,each,Uncategorized,Non-perishable,16 oz
Smucker S Natural Strawberry,2.00,1,each,Uncategorized,Non-perishable,17.25 oz
Smucker S Seedless Strawberry,2.00,1,each,Uncategorized,Non-perishable,18 oz
Sprite Lemon Lime Soda,2.00,1,each,Uncategorized,Non-perishable,
Stacy S No Artificial,2.00,1,oz,Snacks,Non-perishable,7.33 oz
Stauffer S Animal Crackers,2.00,1,each,Uncategorized,Non-perishable,24 oz
Strawberries Container,2.00,1,each,Uncategorized,Non-perishable,2 lb
Sweet Cream Unsalted Butter,2.00,1,each,Uncategorized,Non-perishable,16 oz
Tyson Oven Roasted Diced,2.00,1,each,Uncategorized,Perishable,22 oz
Utz Kettle Classics Salt,2.00,1,oz,Snacks,Non-perishable,7.5 oz
Valvoline Maxlife High Mileage,2.00,1,each,Uncategorized,Non-perishable,
Velveeta Pasteurized Recipe Cheese,2.00,1,oz,Dairy,Perishable,16 oz
Vita Coco The Coconut,2.00,1,fl oz,Uncategorized,Non-perishable,16.9 fl oz
Waffle Cut French Fried,2.00,1,each,Uncategorized,Non-perishable,24 oz
Whole Green Broccoli Crowns,2.00,1,each,Uncategorized,Non-perishable,
Whole Wheat Penne,2.00,1,each,Uncategorized,Non-perishable,16 oz
Yellow Mustard Squeeze Bottle,2.00,1,each,Uncategorized,Non-perishable,20 oz
Zunmos Drawer Fabric Dresser,2.00,1,each,Uncategorized,Non-perishable,
Capri Sun Fruit Punch,2.00,1,each,Uncategorized,Non-perishable,6 fl oz
Finish Jet Dry Rinse,2.00,2,each,Uncategorized,Non-perishable,8.45 fl oz; 8.45 oz
